ranking,name,age,sector,gender,title,self_made,organization,country
1434,Wei Yin-Heng,64,Food & Beverage,M,,,,CHN
1434,Wei Ying-Chiao,68,Food & Beverage,M,,,,TWN
1434,Elaine Wynn,80,Gambling & Casinos,F,Board Member,,"Wynn Las Vegas, LLC",USA
1434,Xu Xudong & family,53,Automotive,M,,,,CHN
1434,Michael Ying,73,Fashion & Retail,M,,,,HKG
1434,Yu Qibing & family,57,Manufacturing,M,,,,CHN
1434,Yuan Fugen & family,72,Manufacturing,M,,,,CHN
1434,Zhang Ning & family,49,Manufacturing,F,,,,CHN
1434,Zhao Tao,57,Healthcare,M,,,,CHN
1516,Anu Aga,80,Construction & Engineering,F,,,,IND
1516,Mohamed Al Fayed,94,Fashion & Retail,M,,,,GBR
1516,Andrey Andreev,49,Technology,M,,,,GBR
1516,Michael Ashcroft,77,Finance & Investments,M,,,,TCA
1516,Pavel Baudis,62,Technology,M,,,,CZE
1516,Wilhelm Beier & family,66,Healthcare,M,,,,DEU
1516,Cao Jianwei,44,Manufacturing,M,,,,CHN
1516,Huwen Chen,52,Manufacturing,M,,,,CHN
1516,Phongthep Chiaravanont,71,Diversified,M,,,,THA
1516,Dou Zhenggang,69,Diversified,M,,,,CHN
1516,Maria Franca Fissolo,88,Food & Beverage,F,,,,MCO
1516,William Franke,85,Diversified,M,,,,USA
1516,Mario Germano Giuliani,51,Healthcare,M,,,,MCO
1516,Amy Goldman Fowler,68,Real Estate,F,,,,USA
1516,John Hancock,47,Metals & Mining,M,,,,GBR
1516,Hu Yangzhong,58,Technology,M,,,,CHN
1516,Huang Dawen,62,Manufacturing,M,,,,HKG
1516,Huang Qiaoling,64,Media & Entertainment,M,,,,CHN
1516,Rajiv Jain,55,Finance & Investments,M,,,,USA
1516,Michael Jordan,60,Sports,M,Athlete,,,USA
1516,Diane Kemper,77,Real Estate,F,,,,USA
1516,Shlomo Kramer,57,Technology,M,,,,ISR
1516,Heikki Kyostila,77,Healthcare,M,,,,FIN
1516,Martin Lau,50,Technology,M,,,,HKG
1516,Li Min,57,Technology,M,,,,CHN
1516,Liang Rubo,40,Technology,M,,,,CHN
1516,Liang Zhaoxian,58,Manufacturing,M,,,,CHN
1516,Lin Fanlian,61,Energy,M,,,,CHN
1516,Aloke Lohia,64,Manufacturing,M,,,,THA
1516,Bill Malhotra,73,Real Estate,M,,,,CAN
1516,Alexander Mamut,63,Finance & Investments,M,,,,ISR
1516,Craig McCaw,73,Telecom,M,,,,USA
1516,Cunhui Nan,59,Manufacturing,M,,,,CHN
1516,Tengyun Nie & family,47,Service,M,,,,CHN
1516,Oei Hong Leong,75,Finance & Investments,M,,,,SGP
1516,Clive Palmer,69,Metals & Mining,M,,,,AUS
1516,Matthew Prince,48,Technology,M,,,,USA
1516,Linda Pritzker,69,Service,F,,,,USA
1516,P.V. Krishna Reddy,53,Construction & Engineering,M,,,,IND
1516,Bianca Rinehart,46,Metals & Mining,F,,,,AUS
1516,Ginia Rinehart,36,Metals & Mining,F,,,,AUS
1516,T. Denny Sanford,87,Finance & Investments,M,,,,USA
1516,Bhadresh Shah,71,Manufacturing,M,,,,IND
1516,Zygmunt Solorz-Zak,66,Media & Entertainment,M,,,,POL
1516,Sylvia Stroeher,67,Fashion & Retail,F,,,,DEU
1516,Otto Toto Sugiri,69,Technology,M,,,,IDN
1516,Larry Tanenbaum,77,Sports,M,,,,CAN
1516,Wichai Thongtang,76,Finance & Investments,M,,,,THA
1516,Ion Tiriac,83,Finance & Investments,M,,,,ROU
1516,Hope Welker,37,Metals & Mining,F,,,,USA
1516,William Young,82,Manufacturing,M,,,,USA
1516,Zhang Fan,57,Technology,M,,,,CHN
1516,Shilong Zhang & family,57,Technology,M,,,,CHN
1516,Zhang Wanzhen,73,Manufacturing,M,,,,CHN
1516,Hongfei Zhao,48,Technology,M,,,,CHN
1516,Zhou Jian,46,Energy,M,,,,CHN
1516,Zhu Yiwen & family,59,Healthcare,M,,,,CHN
1575,Roberto Angelini Rossi,74,Diversified,M,,,,CHL
1575,Mika Anttonen,56,Energy,M,,,,FIN
1575,David Blitzer,53,Sports,M,,,,USA
1575,Julio Bozano,87,Finance & Investments,M,,,,BRA
1575,Nikolai Buinov,55,Energy,M,,,,RUS
1575,Nicola Bulgari,82,Fashion & Retail,M,,,,ITA
1575,"Howard Butt, III. & family",71,Fashion & Retail,M,,,,USA
1575,Jianxing Che,56,Fashion & Retail,M,,,,CHN
1575,Huxiong Chen,52,Manufacturing,M,,,,CHN
1575,Chen Zhisong,57,Technology,M,,,,CHN
1575,Prathip Chiravanond,74,Diversified,M,,,,THA
1575,Alexandra Daitch,60,Food & Beverage,F,,,,USA
1575,Sol Daurella,57,Food & Beverage,F,,,,ESP
1575,Mark Davis,67,Sports,M,,,,USA
1575,James Dinan,63,Finance & Investments,M,Founder,,York Capital Management,USA
1575,Dong Fan,53,Healthcare,M,,,,CHN
1575,Bulent Eczacibasi,73,Diversified,M,,,,TUR
1575,Faruk Eczacibasi,68,Diversified,M,,,,TUR
1575,Eduardo Eurnekian,90,Diversified,M,,,,ARG
1575,David Fong,65,Real Estate,M,,,,HKG
1575,Guo Zhenyu & family,59,Fashion & Retail,M,,,,CHN
1575,Surjit Kumar Gupta,81,Manufacturing,M,,,,IND
1575,Caroline Hagen Kjos,39,Diversified,F,,,,CHE
1575,Roberto Hernandez Ramirez,81,Finance & Investments,M,,,,MEX
1575,Reid Hoffman,55,Technology,M,Partner,,Greylock,USA
1575,Hu Rongda & family,64,Manufacturing,M,,,,CHN
1575,"B. Wayne Hughes, Jr.",63,Real Estate,M,,,,USA
1575,Hui Wing Mau,72,Real Estate,M,,,,HKG
1575,Scott Kapnick,64,Finance & Investments,M,Investor,,,USA
1575,Richard Kayne,77,Finance & Investments,M,,,,USA
1575,Dominika Kulczyk,45,Finance & Investments,F,,,,GBR
1575,Edward Lampert,60,Finance & Investments,M,Founder,,ESL Investments Inc.,USA
1575,James Leprino,85,Food & Beverage,M,Chairman,,Leprino Foods,USA
1575,David Lichtenstein,61,Real Estate,M,,,,USA
1575,Lin Dingqiang & family,56,Real Estate,M,,,,CHN
1575,Sarah MacMillan,69,Food & Beverage,F,,,,USA
1575,Strive Masiyiwa,62,Telecom,M,,,,GBR
1575,Robert Miller,89,Fashion & Retail,M,,,,HKG
1575,Simon Nixon,55,Technology,M,,,,GBR
1575,Kentaro Ogawa,74,Food & Beverage,M,,,,JPN
1575,Ajay Parekh,65,Manufacturing,M,,,,IND
1575,Narendrakumar Parekh,84,Manufacturing,M,,,,IND
1575,Jennifer Pritzker,72,Finance & Investments,F,CEO,,Tawani Enterprises,USA
1575,G. Rajendran,80,Fashion & Retail,M,,,,IND
1575,Ren Jianhua,66,Manufacturing,M,,,,CHN
1575,Larry Robbins,53,Finance & Investments,M,Investor,,Glenview Capital Management,USA
1575,Dwight Schar,81,Construction & Engineering,M,,,,USA
1575,Qinxiang Shao,68,Manufacturing,M,,,,CHN
1575,Hua Shen,60,Technology,M,,,,CHN
1575,Shi Wen-long,95,Manufacturing,M,,,,TWN
1575,Peter Sondakh,73,Finance & Investments,M,,,,IDN
1575,Lucy Stitzer,63,Food & Beverage,F,,,,USA
1575,Elizabeth Sy,70,Diversified,F,,,,PHL
1575,Hermanto Tanoko,60,Manufacturing,M,,,,IDN
1575,Mehmet Sinan Tara,64,Construction & Engineering,M,,,,TUR
1575,Masateru Uno & family,76,Fashion & Retail,M,,,,JPN
1575,Vardis Vardinoyannis & family,90,Energy,M,,,,GRC
1575,Jitendra Virwani,57,Real Estate,M,,,,IND
1575,Wang Chaobin,67,Real Estate,M,,,,CHN
1575,Wang Ren-sheng,91,Fashion & Retail,M,,,,CHN
1575,Charlotte Colket Weber,80,Food & Beverage,F,Director,,Campbell Soup,USA
1575,Xie Juhua & family,72,Healthcare,F,,,,CHN
1575,Chuanhua Xu & family,88,Manufacturing,M,Founder,,Transfar Group,CHN
1575,Gavril Yushvaev & family,65,Finance & Investments,M,,,,ISR
1575,Zhang Hongwei,68,Diversified,M,,,,CHN
1575,Anita Zucker,71,Manufacturing,F,,,,USA
1647,Cameron Adams,43,Technology,M,,,,AUS
1647,Will Adderley,51,Fashion & Retail,M,,,,GBR
1647,Faisal Bin Qassim Al Thani,75,Diversified,M,,,,QAT
1647,Leslie Alexander,79,Sports,M,,,,USA
1647,Masaaki Arai,57,Real Estate,M,,,,JPN
1647,Sabrina Benetton,49,Fashion & Retail,F,,,,ITA
1647,Sanjeev Bikhchandani,59,Technology,M,,,,IND
1647,O. Francis Biondi,58,Finance & Investments,M,,,,USA
1647,Alejandro Bulgheroni,78,Energy,M,,,,URY
1647,R.G. Chandramogan,74,Food & Beverage,M,,,,IND
1647,Binod Chaudhary,67,Diversified,M,,,,NPL
1647,Parker Conrad,42,Technology,M,,,,USA
1647,Tim Cook,62,Technology,M,CEO,,Apple,USA
1647,Mark Coombs,62,Finance & Investments,M,,,,GBR
1647,John de Mol,68,Media & Entertainment,M,,,,NLD
1647,D. Leopoldo Del Pino,60,Construction & Engineering,M,,,,ESP
1647,Diao Zhizhong,59,Technology,M,,,,CHN
1647,Robert Duggan,78,Healthcare,M,,,,USA
1647,James France,78,Sports,M,,,,USA
1647,Phillip Frost,86,Healthcare,M,,,,USA
1647,Jayme Garfinkel & family,77,Finance & Investments,M,,,,BRA
1647,Christopher Goldsbury,80,Food & Beverage,M,Chief Executive Officer,,Silver Ventures,USA
1647,Yusuf Hamied,86,Healthcare,M,,,,IND
1647,Brian Higgins,58,Finance & Investments,M,Investor,,King Street Capital Management,USA
1647,Wei Huang,63,Real Estate,M,,,,CHN
1647,Yintai Jiang & family,72,Automotive,M,,,,CHN
1647,Lei Jin,57,Healthcare,M,,,,CHN
1647,Jin Lei & family,68,Healthcare,M,,,,CHN
1647,Valentin Kipyatkov,46,Technology,M,,,,CYP
1647,Koo Kwang-mo,45,Diversified,M,,,,KOR
1647,George Kurtz,52,Technology,M,,,,USA
1647,Joe Lacob,67,Sports,M,,,,USA
1647,Joe Lau,33,Technology,M,,,,USA
1647,Louise Lindh,43,Diversified,F,,,,SWE
1647,Luo Yangyong & family,47,Metals & Mining,M,,,,CHN
1647,Joao Roberto Marinho,69,Media & Entertainment,M,,,,BRA
1647,Jose Roberto Marinho,67,Media & Entertainment,M,,,,BRA
1647,Roberto Irineu Marinho,75,Media & Entertainment,M,,,,BRA
1647,Gary Michelson,74,Healthcare,M,,,,USA
1647,Robert G. Miller,77,Technology,M,Founder,,Future Electronics,CAN
1647,David Mindus,51,Real Estate,M,,,,SWE
1647,Adriaan Mol,39,Technology,M,,,,NLD
1647,Mofatraj Munot,78,Real Estate,M,,,,IND
1647,Ezra Nahmad,77,Finance & Investments,M,Investor,,,MCO
1647,Satyanarayan Nuwal,70,Manufacturing,M,,,,IND
1647,Nihat Ozdemir,72,Diversified,M,,,,TUR
1647,Benjamin Zhengmin Pan & family,53,Technology,M,,,,CHN
1647,Pierre Karl Péladeau,61,Media & Entertainment,M,,,,CAN
1647,Ronald Perelman,80,Finance & Investments,M,,,,USA
1647,Olivier Pomel,46,Technology,M,Cofounder,,Datadog,USA
1647,Krit Ratanarak,76,Media & Entertainment,M,,,,THA
1647,Vinod Saraf,70,Manufacturing,M,,,,IND
1647,Anatoly Sedykh,58,Metals & Mining,M,,,,RUS
1647,Genhuo Shao,57,Food & Beverage,M,,,,CHN
1647,Shen Xiqiang & family,75,Energy,M,,,,CHN
1647,S.D. Shibulal,68,Technology,M,,,,IND
1647,Suh Kyung-bae,60,Fashion & Retail,M,Chairman,,Amorepacific Corp. (New),KOR
1647,Bambang Sutantio,64,Food & Beverage,M,,,,IDN
1647,Sze Man Bok,73,Manufacturing,M,,,,CHN
1647,Jim Thompson,83,Logistics,M,,,,HKG
1647,Tran Dinh Long,62,Manufacturing,M,,,,VNM
1647,Alan Trefler,67,Technology,M,,,,USA
1647,Riaz Valani,46,Finance & Investments,M,,,,USA
1647,Pieter van der Does,53,Technology,M,,,,NLD
1647,Martin Viessmann,69,Manufacturing,M,,,,DEU
1647,Nikil Viswanathan,35,Technology,M,,,,USA
1647,Todd Wagner,62,Media & Entertainment,M,,,,USA
1647,Evan Williams,51,Technology,M,Cofounder and Director,,Twitter,USA
1647,Kie Chie Wong,75,Metals & Mining,M,,,,AUS
1647,Thomas Wu,72,Finance & Investments,M,,,,TWN
1647,Wu Yingming,56,Energy,M,,,,CHN
1647,Amy Wyss,52,Healthcare,F,,,,USA
1647,Yan Zhi,50,Real Estate,M,,,,CHN
1647,Yoshiaki Yoshida,82,Fashion & Retail,M,,,,JPN
1647,Alan Zekelman,60,Manufacturing,M,,,,USA
1647,Zhang Li,70,Real Estate,M,,,,CHN
1725,Amy Adams Strunk,67,Sports,F,Owner,,Tennessee Titans,USA
1725,Marc Andreessen,51,Finance & Investments,M,Investor,,Andreessen Horowitz,USA
1725,Giovanni Arvedi,85,Metals & Mining,M,,,,ITA
1725,Lesley Bamberger,57,Real Estate,M,,,,NLD
1725,Bang Si-hyuk,50,Media & Entertainment,M,,,,KOR
1725,David Booth,77,Finance & Investments,M,Chairman and CEO,,Dimensional Fund Advisors,USA
1725,Jim Breyer,61,Technology,M,Investor,,Breyer Capital,USA
1725,Kommer Damen,79,Manufacturing,M,,,,NLD
1725,Carl DeSantis,83,Food & Beverage,M,,,,USA
1725,Marek Dospiva,53,Finance & Investments,M,,,,CZE
1725,Keith Dunleavy & family,53,Healthcare,M,,,,USA
1725,John Elkann,47,Finance & Investments,M,,,,ITA
1725,Yasuhiro Fukushima,75,Media & Entertainment,M,,,,JPN
1725,Mario Gabelli,81,Finance & Investments,M,,,,USA
1725,Rolf Gerling,68,Finance & Investments,M,,,,CHE
1725,John Goff,67,Real Estate,M,,,,USA
1725,Alexandre Grendene Bartelle,73,Fashion & Retail,M,,,,BRA
1725,Gerry Harvey,83,Fashion & Retail,M,,,,AUS
1725,He Zhaoxi,49,Technology,M,,,,CHN
1725,William Heinecke,73,Real Estate,M,,,,THA
1725,Jay Hennick,66,Finance & Investments,M,,,,CAN
1725,Ilkka Herlin,64,Manufacturing,M,,,,FIN
1725,Asok Kumar Hiranandani,68,Real Estate,M,,,,SGP
1725,Hal Jackman,90,Finance & Investments,M,,,,CAN
1725,Pavan Jain,71,Manufacturing,M,,,,IND
1725,Keeree Kanjanapas,72,Real Estate,M,,,,THA
1725,Osman Kibar,52,Healthcare,M,"Founder, CEO",,Samumed,USA
1725,Kim Chang-soo,62,Fashion & Retail,M,,,,KOR
1725,Mustafa Kucuk,59,Fashion & Retail,M,,,,TUR
1725,Christopher Kwok,37,Real Estate,M,,,,HKG
1725,Edward Kwok,42,Real Estate,M,,,,HKG
1725,Lai Jianfa,53,Logistics,M,,,,CHN
1725,Lau Cho Kun,87,Diversified,M,,,,MYS
1725,Alexis Lê-Quôc,48,Technology,M,Cofounder,,Datadog,USA
1725,Lei Jufang,70,Healthcare,F,,,,CHN
1725,James Leininger,78,Healthcare,M,,,,USA
1725,Xuhui Li,54,Food & Beverage,F,,,,CHN
1725,Jimmy John Liautaud,59,Food & Beverage,M,,,,USA
1725,Lin Lairong & family,54,Metals & Mining,M,,,,CHN
1725,Palmer Luckey,30,Technology,M,Entrepreneur,,Oculus VR,USA
1725,Duncan MacMillan,85,Finance & Investments,M,,,,USA
1725,Yusaku Maezawa,47,Technology,M,,,,JPN
1725,Ilson Mateus & family,60,Fashion & Retail,M,,,,BRA
1725,Meng Qingshan & family,74,Manufacturing,M,,,,CHN
1725,Alberto Palatchi,73,Fashion & Retail,M,,,,ESP
1725,Mrudula Parekh,75,Manufacturing,F,,,,IND
1725,Dragos Paval,56,Fashion & Retail,M,,,,ROU
1725,Jorge Perez,73,Real Estate,M,,,,USA
1725,Dmitry Pumpyansky,59,Metals & Mining,M,,,,RUS
1725,Jinsheng Ren & family,60,Healthcare,M,,,,CHN
1725,Brian Roberts,63,Media & Entertainment,M,CEO,,Comcast,USA
1725,"Joe Rogers, Jr.",76,Food & Beverage,M,,,,USA
1725,Ruan Shuilong & family,87,Manufacturing,M,,,,CHN
1725,Paul Saville,67,Real Estate,M,,,,USA
1725,Ivan Savvidis & family,64,Diversified,M,,,,RUS
1725,Keiichi Shibahara,58,Healthcare,M,,,,JPN
1725,Rajju Shroff,89,Manufacturing,M,,,,IND
1725,Sun Huaiqing & family,53,Fashion & Retail,M,,,,CHN
1725,Jonathan Tisch,69,Diversified,M,,,,USA
1725,Kenneth Tuchman,63,Service,M,,,,USA
1725,Wang Chou-hsiong,82,Manufacturing,M,,,,TWN
1725,Wang Minwen,59,Technology,M,,,,CHN
1725,Tom Werner,72,Sports,M,,,,USA
1725,Stephen Winn,76,Real Estate,M,,,,USA
1725,Ian Wood & family,80,Energy,M,,,,GBR
1725,Wu Lanlan & family,49,Manufacturing,F,,,,CHN
1725,Xu Bingzhong,49,Food & Beverage,M,,,,CHN
1725,Yang Xuegang,58,Manufacturing,M,,,,CHN
1725,Vladimir Yevtushenkov,74,Telecom,M,,,,RUS
1725,David Zalik,49,Technology,M,CEO,,GreenSky,USA
1725,Zhang Xiaojuan,53,Logistics,F,,,,CHN
1725,Zheng Xiaodong,59,Manufacturing,M,,,,CHN
1725,Zhong Ruonong & family,60,Manufacturing,F,,,,CHN
1804,Noubar Afeyan,60,Healthcare,M,,,,USA
1804,Syed Mokhtar AlBukhary,71,Construction & Engineering,M,,,,MYS
1804,"Herbert Allen, Jr. & family",83,Finance & Investments,M,,,,USA
1804,Vasily Anisimov,71,Metals & Mining,M,,,,CHE
1804,Clifford Asness,56,Finance & Investments,M,,,AQR Capital Management,USA
1804,Louis Bacon,66,Finance & Investments,M,Founder,,"Moore Capital Management, LP",USA
1804,Bai Baokun,53,Manufacturing,M,,,,CHN
1804,Christian Birkenstock,50,Fashion & Retail,M,,,,AUT
1804,Josef Boquoi & family,89,Food & Beverage,M,,,,DEU
1804,Cai Huabo,47,Technology,M,,,,CHN
1804,Chen Tianshi,38,Technology,M,,,,CHN
1804,Chen Yung-tai,87,Real Estate,M,,,,TWN
1804,Chey Tae-won,62,Technology,M,,,SK Holdings,KOR
1804,Ivan Chrenko,55,Real Estate,M,,,,SVK
1804,Robert Clark,64,Construction & Engineering,M,,,,USA
1804,Jack Cockwell,82,Finance & Investments,M,,,,CAN
1804,Tench Coxe,65,Finance & Investments,M,,,,USA
1804,Jim Crane,69,Sports,M,,,,USA
1804,Jamie Dimon,67,Finance & Investments,M,CEO,,JPMorgan Chase & Co.,USA
1804,Daniel Dines,51,Technology,M,,,,USA
1804,Alfredo Egydio Arruda Villela Filho,53,Finance & Investments,M,,,,BRA
1804,Gary Fegel,49,Metals & Mining,M,,,,CHE
1804,"William Foley, II.",78,Finance & Investments,M,,,,USA
1804,Richard Fortin,74,Fashion & Retail,M,,,,CAN
1804,Gao Yi & family,54,Healthcare,M,,,,CHN
1804,Giammaria Giuliani,45,Healthcare,M,,,,CHE
1804,Bill Gross,78,Finance & Investments,M,Cofounder and Co-Chief Investment Officer,,Pacific Investment Management Company LLC,USA
1804,Sue Gross,73,Finance & Investments,F,,,,USA
1804,Irving Grousbeck & family,88,Sports,M,,,,USA
1804,Timothy Headington,72,Energy,M,,,,USA
1804,Ilona Herlin,58,Manufacturing,F,,,,FIN
1804,David Hoffmann,70,Diversified,M,,,,USA
1804,Stanley Hubbard,89,Media & Entertainment,M,Chairman and CEO,,"Hubbard Broadcasting, Inc.",USA
1804,Hui Lin Chit,69,Manufacturing,M,,,,CHN
1804,Tianjiang Jia & family,60,Metals & Mining,M,,,,CHN
1804,Zhaobai Jiang,59,Real Estate,M,,,,CHN
1804,Sergei Katsiev,65,Fashion & Retail,M,,,,RUS
1804,Randal J. Kirk,69,Healthcare,M,,,,USA
1804,William Koch,82,Energy,M,,,,USA
1804,Pyotr Kondrashev,73,Manufacturing,M,,,,AUT
1804,Eiichi Kuriwada,76,Logistics,M,,,,JPN
1804,Robert Langer,74,Healthcare,M,,,,USA
1804,Anthony Langley,68,Diversified,M,,,,GBR
1804,Marianna Latsis & family,70,Diversified,F,,,,GRC
1804,Lee Yeow Seng,45,Real Estate,M,,,,MYS
1804,Li Sze Lim,66,Real Estate,M,,,,CHN
1804,Li Wa,57,Real Estate,M,,,,CHN
1804,Li Weiwei,46,Technology,M,,,,CHN
1804,Liang Qin & family,51,Technology,F,,,,CHN
1804,Vincent Lo,75,Real Estate,M,,,,HKG
1804,Terence (Terry) Matthews,80,Telecom,M,,,,CAN
1804,Jim McKelvey,57,Technology,M,,,,USA
1804,P.N.C. Menon,74,Real Estate,M,,,,ARE
1804,Massimo Moratti,77,Energy,M,,,,ITA
1804,Liora Ofer,69,Finance & Investments,F,,,,ISR
1804,Stefan Pierer,66,Automotive,M,,,,AUT
1804,Andreas Pohl,58,Finance & Investments,M,,,,DEU
1804,"Reinfried Pohl, Jr.",63,Finance & Investments,M,,,,DEU
1804,Michael Polsky,74,Energy,M,,,,USA
1804,Francisco Jose Riberas Mera,58,Manufacturing,M,,,,ESP
1804,Juan Maria Riberas Mera,54,Metals & Mining,M,,,,ESP
1804,Andres Santo Domingo,44,Food & Beverage,M,,,,USA
1804,Sathien Sathientham,68,Food & Beverage,M,,,,THA
1804,Shang Xiaobo & family,49,Manufacturing,M,,,,CHN
1804,Yuri Shefler,55,Food & Beverage,M,,,,CHE
1804,Evgeny (Eugene) Shvidler,59,Metals & Mining,M,,,,GBR
1804,Ryan Smith,44,Technology,M,Co-Founder & CEO,,Qualtrics,USA
1804,Zakhar Smushkin,61,Diversified,M,,,,RUS
1804,Peter Sperling,63,Service,M,,,,USA
1804,Laurie Tisch,72,Diversified,F,,,,USA
1804,Steven Tisch,74,Diversified,M,,,,USA
1804,Michael Tojner,57,Manufacturing,M,,,,AUT
1804,August Troendle,67,Healthcare,M,,,,USA
1804,Sekar Vembu,51,Technology,M,,,,IND
1804,Chris Wallin,70,Energy,M,,,,AUS
1804,Wang Changtian,57,Media & Entertainment,M,,,,CHN
1804,Ning Wang & family,36,Media & Entertainment,M,,,,CHN
1804,Scott Watterson,67,Technology,M,,,,USA
1804,Dan Wilks,66,Energy,M,,,,USA
1804,Alan Wilson,82,Fashion & Retail,M,,,,AUS
1804,Bruce Wilson,76,Fashion & Retail,M,,,,AUS
1804,John Wilson,85,Fashion & Retail,M,,,,AUS
1804,Anthony Wood,57,Technology,M,,,,USA
1804,Wu Ying,58,Manufacturing,M,,,,CHN
1804,Wu Yulan,53,Healthcare,F,,,,CHN
1804,Zhongyi Wu,49,Technology,M,,,,CHN
1804,Xiang Guangming & family,59,Manufacturing,M,,,,CHN
1804,Xue Xiangdong & family,64,Technology,M,,,,CHN
1804,George Yancopoulos,63,Healthcare,M,,,,USA
1804,Steven Meng Yang & family,40,Technology,M,,,,CHN
1804,Ye Fan & family,52,Automotive,M,,,,CHN
1804,Yi Dasheng,62,Diversified,M,,,,CHN
1804,Yu Lili,55,Manufacturing,F,,,,CHN
1804,Zeng Kaitian,48,Technology,M,,,,CHN
1804,Zhang Xuexin & family,75,Metals & Mining,M,,,,CHN
1804,Yubai Zhang,58,Food & Beverage,M,,,,CHN
1804,Fredrik Österberg,52,Gambling & Casinos,M,,,,SWE
1905,Shiv Kishan Agrawal,82,Food & Beverage,M,,,,IND
1905,Aziz Akhannouch & family,62,Diversified,M,,,,MAR
1905,Hamdi Akin & family,68,Diversified,M,,,,TUR
1905,Nerio Alessandri,61,Manufacturing,M,,,,ITA
1905,Patricia Angelini Rossi,68,Diversified,F,,,,CHL
1905,Mori Arkin,70,Healthcare,M,,,,ISR
1905,Barbara Benetton,53,Fashion & Retail,F,,,,ITA
1905,Angela Bennett,79,Metals & Mining,F,,,,AUS
1905,Zadik Bino & family,79,Diversified,M,,,,ISR
1905,Paolo Bulgari,85,Fashion & Retail,M,,,,ITA
1905,Saket Burman,46,Food & Beverage,M,,,,ARE
1905,Ahmet Calik,65,Diversified,M,,,,TUR
1905,Safra Catz,61,Technology,F,CEO,,Oracle,USA
1905,Chang Kuo-Hua,68,Logistics,M,,,,TWN
1905,Chu Jian,60,Manufacturing,M,,,,CHN
1905,Sandor Csanyi,70,Diversified,M,,,,HUN
1905,Ana Lucia de Mattos Barretto Villela,49,Finance & Investments,F,,,,BRA
1905,Federico De Nora,55,Manufacturing,M,,,,ITA
1905,Bharat Desai,70,Technology,M,Chairman and Co-founder,,Syntel,USA
1905,Mohammed Dewji,47,Diversified,M,,,,TZA
1905,Egon Durban,49,Finance & Investments,M,,,,USA
1905,Fu Mingkang & family,60,Manufacturing,M,,,,CHN
1905,Alan Gerry,94,Media & Entertainment,M,,,,USA
1905,G. Gnanalingam,78,Logistics,M,,,,MYS
1905,Esther Grether,87,Fashion & Retail,F,,,,CHE
1905,Wei Gu,58,Manufacturing,M,,,,CHN
1905,Patrick Hanrahan,67,Technology,M,,,,USA
1905,Kenneth Hao,54,Finance & Investments,M,,,,USA
1905,Jaroslav Hascak & family,53,Finance & Investments,M,,,,SVK
1905,He Zhenggang,69,Manufacturing,M,,,,CHN
1905,Niranjan Hiranandani,73,Real Estate,M,,,,IND
1905,Ho Hung Anh,52,Finance & Investments,M,,,,VNM
1905,Archie Hwang,70,Technology,M,,,,TWN
1905,Peter Jackson,61,Media & Entertainment,M,Director,,Film,NZL
1905,Stephen Jarislowsky,97,Finance & Investments,M,Cofounder and Chairman,,Jarislowsky & Fraser,CAN
1905,Rajeev Juneja,57,Healthcare,M,,,,IND
1905,Ramesh Juneja,67,Healthcare,M,,,,IND
1905,Ke Xiping & family,62,Diversified,M,,,,CHN
1905,Kim Jun-ki,78,Diversified,M,,,Dongbu Insurance Co. Ltd.,KOR
1905,Sidney Kimmel,95,Fashion & Retail,M,,,,USA
1905,Jim Koch,73,Food & Beverage,M,,,,USA
1905,Raj Kumar,68,Real Estate,M,,,,SGP
1905,Spiro Latsis & family,76,Diversified,M,,,,CHE
1905,Peter Leibinger,56,Manufacturing,M,,,,DEU
1905,Regine Leibinger,60,Manufacturing,F,,,,DEU
1905,Nicola Leibinger-Kammueller,63,Manufacturing,F,,,,DEU
1905,Li Jianli,50,Manufacturing,M,,,,CHN
1905,Li Jiaquan,59,Manufacturing,M,,,,CHN
1905,Li Rucheng,71,Fashion & Retail,M,,,,CHN
1905,Li Shui-po,66,Manufacturing,M,,,,CHN
1905,Scott Lin,90,Technology,M,,,,TWN
1905,Liu Xiucai & family,66,Manufacturing,M,,,,CHN
1905,Lu Zhongfang,80,Automotive,F,,,,CHN
1905,Lu Zongjun,59,Logistics,M,,,,CHN
1905,Youssef Mansour,77,Diversified,M,,,,EGY
1905,Bruce Mathieson,79,Real Estate,M,,,,AUS
1905,Romano Minozzi,88,Diversified,M,,,,ITA
1905,Greg Mondre,48,Finance & Investments,M,,,,USA
1905,Mario Moretti Polegato & family,70,Fashion & Retail,M,,,,ITA
1905,Robert Mouawad,78,Service,M,,,,BHR
1905,Jerry Moyes & family,79,Logistics,M,,,,USA
1905,John Ocampo,63,Technology,M,,,,USA
1905,Stefan Olsson,74,Diversified,M,,,,GBR
1905,Rubens Ometto Silveira Mello,73,Energy,M,,,,BRA
1905,Nelson Peltz,80,Finance & Investments,M,Founder,,Trian Fund Management,USA
1905,David Penaloza Alanis,49,Construction & Engineering,M,,,,MEX
1905,Karl-Johan Persson,48,Fashion & Retail,M,,,,SWE
1905,Mike Repole,55,Food & Beverage,M,,,,USA
1905,Duke Reyes,66,Food & Beverage,M,,,,USA
1905,Kishin RK,39,Real Estate,M,,,,SGP
1905,Carlos Rodriguez-Pastor,63,Finance & Investments,M,,,,PER
1905,Christopher Rokos,52,Finance & Investments,M,CEO & Founder ,,Rokos Capital Management,GBR
1905,John Ruiz,56,Service,M,,,,USA
