doc_id,label,pos_bigram,count
348,0,DET_ADJ,18
349,0,DET_NOUN,53
349,0,NOUN_ADP,45
349,0,ADP_NOUN,29
349,0,NOUN_NOUN,26
349,0,VERB_DET,25
350,1,NOUN_ADP,50
350,1,ADJ_NOUN,45
350,1,NOUN_NOUN,36
350,1,ADP_NOUN,28
350,1,DET_NOUN,21
351,0,ADJ_NOUN,13
351,0,NOUN_ADP,12
351,0,DET_NOUN,12
351,0,ADP_DET,10
351,0,PRON_AUX,7
352,1,VERB_ADP,9
352,1,ADP_DET,8
352,1,DET_NOUN,8
352,1,ADJ_NOUN,8
352,1,NOUN_PRON,6
353,1,ADJ_NOUN,53
353,1,NOUN_ADP,39
353,1,NOUN_NOUN,31
353,1,NOUN_CCONJ,20
353,1,NOUN_VERB,20
354,0,NOUN_ADP,34
354,0,DET_NOUN,25
354,0,ADJ_NOUN,24
354,0,ADP_DET,23
354,0,PRON_AUX,18
355,0,PRON_VERB,26
355,0,VERB_ADP,20
355,0,PART_VERB,19
355,0,PRON_AUX,16
355,0,ADP_PRON,16
356,0,PRON_VERB,24
356,0,NOUN_ADP,17
356,0,PRON_AUX,17
356,0,DET_NOUN,15
356,0,ADJ_NOUN,14
357,0,DET_NOUN,25
357,0,ADJ_NOUN,25
357,0,NOUN_ADP,20
357,0,AUX_VERB,17
357,0,VERB_NOUN,17
358,0,DET_NOUN,11
358,0,ADP_NOUN,11
358,0,ADJ_NOUN,10
358,0,PRON_AUX,10
358,0,NOUN_NOUN,10
359,1,ADJ_NOUN,32
359,1,NOUN_ADP,17
359,1,NOUN_VERB,15
359,1,ADP_NOUN,13
359,1,VERB_ADJ,11
360,0,PRON_AUX,6
360,0,DET_NOUN,6
360,0,PRON_VERB,5
360,0,SCONJ_PRON,4
360,0,PART_VERB,4
361,1,ADJ_NOUN,31
361,1,NOUN_ADP,24
361,1,DET_NOUN,14
361,1,VERB_ADP,13
361,1,ADP_NOUN,11
362,0,ADJ_NOUN,11
362,0,VERB_PRON,11
362,0,NOUN_ADP,11
362,0,PRON_VERB,10
362,0,VERB_ADJ,8
363,0,DET_NOUN,23
363,0,NOUN_NOUN,21
363,0,ADJ_NOUN,21
363,0,NOUN_VERB,17
363,0,VERB_ADP,15
364,1,ADJ_NOUN,21
364,1,NOUN_NOUN,20
364,1,NOUN_ADP,11
364,1,NOUN_VERB,10
364,1,ADP_DET,9
365,1,VERB_PRON,20
365,1,PART_VERB,15
365,1,NOUN_ADP,12
365,1,PRON_VERB,11
365,1,PRON_AUX,11
366,0,NOUN_NOUN,16
366,0,DET_NOUN,15
366,0,VERB_ADP,13
366,0,NOUN_ADP,13
366,0,ADP_DET,12
367,1,ADJ_NOUN,29
367,1,DET_NOUN,28
367,1,NOUN_AUX,23
367,1,NOUN_ADP,23
367,1,VERB_NOUN,18
368,1,ADJ_NOUN,17
368,1,NOUN_ADP,16
368,1,VERB_NOUN,12
368,1,NOUN_NOUN,10
368,1,NOUN_CCONJ,10
369,0,NOUN_ADP,58
369,0,DET_NOUN,44
369,0,ADJ_NOUN,38
369,0,ADP_NOUN,30
369,0,NOUN_NOUN,30
370,0,DET_NOUN,43
370,0,PRON_AUX,22
370,0,ADJ_NOUN,20
370,0,VERB_ADP,19
370,0,PRON_VERB,19
371,1,PRON_AUX,36
371,1,DET_NOUN,19
371,1,VERB_PRON,19
371,1,SCONJ_PRON,16
371,1,AUX_VERB,14
372,0,PRON_AUX,16
372,0,AUX_VERB,14
372,0,VERB_PRON,13
372,0,ADJ_NOUN,10
372,0,VERB_ADP,9
373,1,NOUN_ADP,46
373,1,NOUN_NOUN,33
373,1,ADJ_NOUN,30
373,1,ADP_NOUN,30
373,1,VERB_NOUN,21
374,1,NOUN_ADP,23
374,1,ADJ_NOUN,20
374,1,VERB_ADP,17
374,1,ADP_DET,17
374,1,ADP_NOUN,13
375,0,DET_NOUN,33
375,0,NOUN_ADP,27
375,0,ADJ_NOUN,27
375,0,ADP_DET,23
375,0,PRON_AUX,16
376,1,NOUN_ADP,11
376,1,VERB_DET,9
376,1,DET_NOUN,9
376,1,NOUN_CCONJ,9
376,1,ADJ_NOUN,9
377,1,NOUN_ADP,19
377,1,ADP_NOUN,15
377,1,DET_NOUN,13
377,1,NOUN_AUX,11
377,1,ADP_DET,11
378,1,ADJ_NOUN,34
378,1,NOUN_NOUN,30
378,1,NOUN_ADP,20
378,1,PRON_AUX,11
378,1,ADP_ADJ,10
379,1,DET_NOUN,10
379,1,PART_VERB,10
379,1,PRON_AUX,7
379,1,ADJ_NOUN,6
379,1,NOUN_AUX,5
380,1,ADJ_NOUN,17
380,1,NOUN_ADP,15
380,1,PRON_VERB,9
380,1,VERB_DET,8
380,1,VERB_NOUN,8
381,1,NOUN_ADP,21
381,1,NOUN_NOUN,15
381,1,ADJ_NOUN,14
381,1,DET_NOUN,12
381,1,ADP_NOUN,11
382,0,VERB_PRON,45
382,0,ADJ_NOUN,41
382,0,NOUN_ADP,34
382,0,PRON_VERB,29
382,0,PRON_AUX,29
383,0,DET_NOUN,13
383,0,ADJ_NOUN,11
383,0,ADP_NOUN,10
383,0,NOUN_ADP,9
383,0,DET_ADJ,8
384,1,NOUN_ADP,18
384,1,DET_NOUN,14
384,1,ADP_NOUN,14
384,1,VERB_DET,9
384,1,ADJ_NOUN,9
385,0,DET_NOUN,28
385,0,NOUN_ADP,12
385,0,ADP_NOUN,12
385,0,PRON_VERB,10
385,0,NOUN_AUX,9
386,0,NOUN_ADP,35
386,0,DET_NOUN,26
386,0,ADJ_NOUN,24
386,0,NOUN_NOUN,23
386,0,ADP_NOUN,22
387,1,NOUN_ADP,20
387,1,ADJ_NOUN,17
387,1,DET_NOUN,17
387,1,NOUN_PRON,12
387,1,PRON_VERB,11
388,1,NOUN_ADP,34
388,1,ADJ_NOUN,26
388,1,DET_NOUN,18
